,A_架次,A_能耗,A_时间,B_架次,B_能耗,B_时间,C_架次,C_能耗,C_时间
S001,10,12.36,12223.5,7,7.772,8111.8,2,5.93,3188.7
S002,5,14.635,9933.6,4,10.165,7051.8,2,10.453,3965.6
S003,5,14.901,11196.6,4,10.398,8084.3,2,10.503,4609.3
S004,4,12.268,8613.1,3,8.012,5775.6,1,6.174,2304.6
S005,4,8.431,6661.1,3,5.508,4555.9,1,4.236,1879.7
S006,4,5.196,5146.6,3,3.408,3631.4,1,2.599,1565.5
S007,3,5.656,5079.1,2,3.427,3183.6,1,3.406,1889.7
S008,3,9.55,6443.2,2,5.751,3855.1,1,5.851,2193.6
S009,2,4.414,3322.6,1,2.102,1560.6,1,3.78,1646.7
S010,2,3.813,3249.5,1,1.823,1555.3,1,3.229,1668.6
S011,2,2.254,2386.8,1,1.077,1189.5,1,1.905,1279.3
S012,2,5.799,4202.4,1,2.764,1944.5,1,4.938,2066.9
S013,2,3.815,3146.4,1,1.822,1501.5,1,3.247,1600.5
S014,2,4.449,3871.9,1,2.13,1845.4,1,3.727,2005.4
S015,2,4.83,3880.9,1,2.311,1829.8,1,4.083,1968.0
