服务区,机型,可达,FFD架次,DP架次,ILP架次,FFD能耗kWh,DP能耗kWh
S001,A,1,10,10,10,12.378,12.36
S001,B,1,7,7,7,7.939,7.772
S001,C,1,2,2,2,5.93,5.93
S002,A,1,5,5,5,14.653,14.635
S002,B,1,4,4,4,10.495,10.165
S002,C,1,2,2,2,11.051,10.453
S003,A,1,5,5,5,14.919,14.901
S003,B,1,4,4,4,10.72,10.398
S003,C,1,2,2,2,11.088,10.503
S004,A,1,4,4,4,12.287,12.268
S004,B,1,3,3,3,8.297,8.012
S004,C,1,1,1,1,6.174,6.174
S005,A,1,4,4,4,8.444,8.431
S005,B,1,3,3,3,5.703,5.508
S005,C,1,1,1,1,4.236,4.236
S006,A,1,4,4,4,5.204,5.196
S006,B,1,3,3,3,3.525,3.408
S006,C,1,1,1,1,2.599,2.599
S007,A,1,3,3,3,5.667,5.656
S007,B,1,3,2,2,4.862,3.427
S007,C,1,1,1,1,3.406,3.406
S008,A,1,3,3,3,9.57,9.55
S008,B,1,3,2,2,8.165,5.751
S008,C,1,1,1,1,5.851,5.851
S009,A,1,2,2,2,4.469,4.414
S009,B,1,1,1,1,2.102,2.102
S009,C,1,1,1,1,3.78,3.78
S010,A,1,2,2,2,3.859,3.813
S010,B,1,1,1,1,1.823,1.823
S010,C,1,1,1,1,3.229,3.229
S011,A,1,2,2,2,2.281,2.254
S011,B,1,1,1,1,1.077,1.077
S011,C,1,1,1,1,1.905,1.905
S012,A,1,2,2,2,5.869,5.799
S012,B,1,1,1,1,2.764,2.764
S012,C,1,1,1,1,4.938,4.938
S013,A,1,2,2,2,3.861,3.815
S013,B,1,1,1,1,1.822,1.822
S013,C,1,1,1,1,3.247,3.247
S014,A,1,2,2,2,4.5,4.449
S014,B,1,1,1,1,2.13,2.13
S014,C,1,1,1,1,3.727,3.727
S015,A,1,2,2,2,4.887,4.83
S015,B,1,1,1,1,2.311,2.311
S015,C,1,1,1,1,4.083,4.083
