服务区,状态,列数,DP架次,ILP架次,DP能耗kWh,ILP能耗kWh,一致,耗时s
S001,ok,18332,2,2,5.929503,5.929503,是,55.67
S002,ok,316,2,2,8.461992,8.461992,是,0.08
S003,ok,316,2,2,8.549359,8.549359,是,0.08
S004,ok,101,1,1,6.173619,6.173619,是,0.02
S005,ok,101,1,1,4.236459,4.236459,是,0.03
S006,ok,101,1,1,2.598591,2.598591,是,0.03
S007,ok,59,1,1,3.405797,3.405797,是,0.02
S008,ok,59,1,1,5.851113,5.851113,是,0.03
S009,ok,20,1,1,2.101973,2.101973,是,0.02
S010,ok,20,1,1,1.82289,1.82289,是,0.02
S011,ok,20,1,1,1.076855,1.076855,是,0.03
S012,ok,20,1,1,2.764445,2.764445,是,0.02
S013,ok,20,1,1,1.822105,1.822105,是,0.02
S014,ok,20,1,1,2.129852,2.129852,是,0.02
S015,ok,20,1,1,2.311387,2.311387,是,0.03
