服务区,机型组合,架次数,能耗kWh,时间s
S001,C2,2,5.93,3188.7
S001,B1+C2,3,6.324,4206.9
S001,B1+C2,3,6.327,4200.9
S001,B3+C1,4,6.399,5144.1
S001,B3+C1,4,6.426,5138.1
S001,B3+C1,4,6.465,5132.1
S001,B4+C1,5,7.023,6156.4
S001,B4+C1,5,7.023,6150.4
S001,B5+C1,6,7.758,7174.6
S001,B5+C1,6,7.788,7168.6
S001,B7,7,7.772,8111.8
S001,B8,8,8.561,9142.1
S001,B9,9,9.397,10172.3
S001,B10,10,10.244,11202.6
S001,B11,11,11.106,12232.8
S001,B12,12,12.004,13263.1
S001,B13,13,12.912,14293.4
S001,B14,14,13.831,15323.6
S001,B15,15,14.758,16353.9
S002,B1+C1,2,8.462,3871.8
S002,B2+C1,3,10.291,5508.7
S002,B2+C1,3,10.291,5502.7
S002,B4,4,10.165,7051.8
S002,B5,5,12.123,8694.7
S002,B6,6,14.157,10337.6
S002,B7,7,16.282,11980.6
S002,B8,8,18.45,13623.5
S003,B1+C1,2,8.549,4451.7
S003,B2+C1,3,10.433,6346.8
S003,B2+C1,3,10.433,6340.8
S003,B4,4,10.398,8084.3
S003,B5,5,12.408,9985.4
S003,B6,6,14.492,11886.5
S003,B7,7,16.665,13787.6
S003,B8,8,18.881,15688.6
S004,C1,1,6.174,2304.6
S004,B1+C1,2,8.122,4097.8
S004,B1+C1,2,8.214,4091.8
S004,B3,3,8.012,5775.6
S004,B4,4,10.114,7580.9
S004,B5,5,12.339,9386.1
S004,B6,6,14.635,11191.3
S005,C1,1,4.236,1879.7
S005,B1+C1,2,5.577,3266.3
S005,B1+C1,2,5.64,3260.3
S005,B3,3,5.508,4555.9
S005,B4,4,6.954,5954.5
S005,B5,5,8.485,7353.2
S005,B6,6,10.063,8751.8
S006,C1,1,2.599,1565.5
S006,B1+C1,2,3.428,2644.0
S006,B1+C1,2,3.466,2638.0
S006,B3,3,3.408,3631.4
S006,B4,4,4.301,4721.9
S006,B5,5,5.244,5812.4
S006,B6,6,6.217,6902.9
S007,C1,1,3.406,1889.7
S007,B2,2,3.427,3183.6
S007,B3,3,4.692,4625.4
S007,B4,4,6.063,6067.2
S007,B5,5,7.475,7508.9
S008,C1,1,5.851,2193.6
S008,B2,2,5.751,3855.1
S008,B3,3,7.862,5632.7
S008,B4,4,10.162,7410.2
S008,B5,5,12.536,9187.8
S009,B1,1,2.102,1560.6
S009,B2,2,3.613,2941.2
S009,B3,3,5.28,4321.8
S010,B1,1,1.823,1555.3
S010,B2,2,3.136,2930.6
S010,B3,3,4.579,4305.8
S011,B1,1,1.077,1189.5
S011,B2,2,1.855,2199.0
S011,B3,3,2.709,3208.6
S012,B1,1,2.764,1944.5
S012,B2,2,4.756,3708.9
S012,B3,3,6.95,5473.4
S013,B1,1,1.822,1501.5
S013,B2,2,3.131,2822.9
S013,B3,3,4.573,4144.4
S014,B1,1,2.13,1845.4
S014,B2,2,3.672,3510.8
S014,B3,3,5.363,5176.1
S015,B1,1,2.311,1829.8
S015,B2,2,3.975,3479.6
S015,B3,3,5.804,5129.3
