架次编号,服务区编号,机型编号,货箱编号列表,总质量kg,总体积m3,往返时间s,架次能耗kWh,返航SOC
S001-C-1,S001,C,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02,76.0,0.231,1693.327,2.925549,0.634306
S001-C-2,S001,C,S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-03,78.0,0.163,1495.327,3.003954,0.624506
S002-C-1,S002,C,S002-WAT-01;S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-MED-01,39.0,0.13,2048.814,5.187445,0.351569
S002-C-2,S002,C,S002-WAT-02;S002-WAT-03;S002-WAT-04,42.0,0.081,1916.814,5.26542,0.341822
S003-C-1,S003,C,S003-WAT-01;S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-MED-01,39.0,0.13,2370.647,5.211934,0.348508
S003-C-2,S003,C,S003-WAT-02;S003-WAT-03;S003-WAT-04,42.0,0.081,2238.647,5.29106,0.338617
S004-C-1,S004,C,S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01;S004-MED-01,59.0,0.156,2304.628,6.173619,0.228298
S005-C-1,S005,C,S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01;S005-MED-01,59.0,0.156,1879.654,4.236459,0.470443
S006-C-1,S006,C,S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01;S006-MED-01,59.0,0.156,1565.537,2.598591,0.675176
S007-C-1,S007,C,S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01;S007-MED-01,45.0,0.129,1889.7,3.405797,0.574275
S008-C-1,S008,C,S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01;S008-MED-01,45.0,0.129,2193.638,5.851113,0.268611
S009-B-1,S009,B,S009-WAT-01;S009-FOD-01;S009-MED-01,25.0,0.067,1560.608,2.101973,0.474507
S010-B-1,S010,B,S010-WAT-01;S010-FOD-01;S010-MED-01,25.0,0.067,1555.281,1.82289,0.544277
S011-B-1,S011,B,S011-WAT-01;S011-FOD-01;S011-MED-01,25.0,0.067,1189.521,1.076855,0.730786
S012-B-1,S012,B,S012-WAT-01;S012-FOD-01;S012-MED-01,25.0,0.067,1944.463,2.764445,0.308889
S013-B-1,S013,B,S013-WAT-01;S013-FOD-01;S013-MED-01,25.0,0.067,1501.475,1.822105,0.544474
S014-B-1,S014,B,S014-WAT-01;S014-FOD-01;S014-MED-01,25.0,0.067,1845.381,2.129852,0.467537
S015-B-1,S015,B,S015-WAT-01;S015-FOD-01;S015-MED-01,25.0,0.067,1829.778,2.311387,0.422153
