架次数,最小能耗kWh,对应作业时间h,最小作业时间h,对应能耗kWh,非支配,档内非支配点数
18,59.236,9.103,9.103,59.236,是,1
19,59.136,9.565,9.384,60.014,是,5
20,59.156,9.924,9.643,59.772,否,8
21,59.551,10.207,9.924,60.55,否,12
22,59.626,10.467,10.204,61.404,否,16
23,60.25,10.749,10.471,61.078,否,9
24,60.436,11.041,10.751,61.856,否,6
25,60.999,11.292,11.032,62.711,否,6
26,61.708,11.785,11.318,63.5,否,9
27,61.809,11.866,11.604,64.336,否,6
28,62.586,12.146,11.89,65.183,否,8
29,63.081,12.609,12.176,66.045,否,10
30,63.858,12.889,12.463,66.943,否,10
31,64.647,13.176,12.749,67.851,否,9
32,65.484,13.462,13.035,68.77,否,9
33,66.33,13.748,13.321,69.697,否,11
34,67.185,14.028,13.609,69.58,否,10
35,68.033,14.631,13.895,70.507,否,12
36,68.888,14.912,14.198,71.399,否,11
37,69.75,15.198,14.501,72.343,否,9
38,70.643,15.501,14.804,73.315,否,10
39,71.54,15.787,15.163,73.336,否,8
40,72.449,16.073,15.53,74.645,否,7
41,73.368,16.359,15.897,76.087,否,7
42,74.287,17.037,16.274,75.917,否,5
43,75.206,17.324,16.641,77.359,否,7
44,76.133,17.61,17.023,78.671,否,8
45,77.055,18.333,17.405,80.115,否,10
46,77.982,18.619,17.788,81.626,否,13
47,78.925,18.922,18.172,83.293,否,17
48,79.898,19.225,18.56,84.739,否,20
49,81.163,19.625,18.949,86.27,否,24
50,82.472,19.992,19.337,87.848,否,25
51,83.785,20.374,19.738,89.113,否,26
52,85.156,20.775,20.138,90.484,否,24
53,86.567,21.175,20.539,91.896,否,22
54,88.009,21.542,20.992,93.725,否,24
55,89.453,21.924,21.422,93.599,否,20
56,90.898,22.313,21.878,95.557,否,17
57,92.409,22.696,22.335,97.591,否,17
58,93.94,23.085,22.791,99.716,否,15
59,95.482,23.547,23.248,101.884,否,17
60,97.061,23.936,23.706,103.548,否,16
61,98.725,24.394,24.164,105.377,否,17
62,100.392,24.778,24.626,105.276,否,17
63,102.083,25.24,25.088,106.819,否,18
64,103.912,25.699,25.551,108.51,否,17
65,105.87,26.155,26.041,110.502,否,14
66,107.862,26.645,26.515,110.348,否,10
67,109.872,27.173,27.005,112.34,否,8
68,111.906,27.63,27.495,114.534,否,8
69,113.989,28.158,27.989,116.646,否,10
70,116.091,28.659,28.483,118.946,否,11
71,118.203,29.153,28.977,121.319,否,14
72,120.328,29.609,29.478,123.421,否,10
73,122.496,30.066,29.979,125.647,否,9
74,124.669,30.594,30.481,127.942,否,8
75,126.864,31.084,30.989,127.495,否,8
76,129.079,31.612,31.49,129.791,否,9
77,131.305,32.113,32.018,131.801,否,7
78,133.6,32.615,32.546,133.885,否,5
79,135.9,33.109,33.074,136.058,否,3
80,138.273,33.602,33.602,138.273,否,1
