机型,ρ,服务区,q_max
A,0.1,S001,25.0
A,0.1,S002,25.0
A,0.1,S003,25.0
A,0.1,S004,25.0
A,0.1,S005,25.0
A,0.1,S006,25.0
A,0.1,S007,25.0
A,0.1,S008,25.0
A,0.1,S009,25.0
A,0.1,S010,25.0
A,0.1,S011,25.0
A,0.1,S012,25.0
A,0.1,S013,25.0
A,0.1,S014,25.0
A,0.1,S015,25.0
A,0.11,S001,25.0
A,0.11,S002,25.0
A,0.11,S003,25.0
A,0.11,S004,25.0
A,0.11,S005,25.0
A,0.11,S006,25.0
A,0.11,S007,25.0
A,0.11,S008,25.0
A,0.11,S009,25.0
A,0.11,S010,25.0
A,0.11,S011,25.0
A,0.11,S012,25.0
A,0.11,S013,25.0
A,0.11,S014,25.0
A,0.11,S015,25.0
A,0.12,S001,25.0
A,0.12,S002,25.0
A,0.12,S003,25.0
A,0.12,S004,25.0
A,0.12,S005,25.0
A,0.12,S006,25.0
A,0.12,S007,25.0
A,0.12,S008,25.0
A,0.12,S009,25.0
A,0.12,S010,25.0
A,0.12,S011,25.0
A,0.12,S012,25.0
A,0.12,S013,25.0
A,0.12,S014,25.0
A,0.12,S015,25.0
A,0.13,S001,25.0
A,0.13,S002,25.0
A,0.13,S003,25.0
A,0.13,S004,25.0
A,0.13,S005,25.0
A,0.13,S006,25.0
A,0.13,S007,25.0
A,0.13,S008,25.0
A,0.13,S009,25.0
A,0.13,S010,25.0
A,0.13,S011,25.0
A,0.13,S012,25.0
A,0.13,S013,25.0
A,0.13,S014,25.0
A,0.13,S015,25.0
A,0.14,S001,25.0
A,0.14,S002,25.0
A,0.14,S003,25.0
A,0.14,S004,25.0
A,0.14,S005,25.0
A,0.14,S006,25.0
A,0.14,S007,25.0
A,0.14,S008,25.0
A,0.14,S009,25.0
A,0.14,S010,25.0
A,0.14,S011,25.0
A,0.14,S012,25.0
A,0.14,S013,25.0
A,0.14,S014,25.0
A,0.14,S015,25.0
A,0.15,S001,25.0
A,0.15,S002,25.0
A,0.15,S003,25.0
A,0.15,S004,25.0
A,0.15,S005,25.0
A,0.15,S006,25.0
A,0.15,S007,25.0
A,0.15,S008,25.0
A,0.15,S009,25.0
A,0.15,S010,25.0
A,0.15,S011,25.0
A,0.15,S012,25.0
A,0.15,S013,25.0
A,0.15,S014,25.0
A,0.15,S015,25.0
A,0.16,S001,25.0
A,0.16,S002,25.0
A,0.16,S003,25.0
A,0.16,S004,25.0
A,0.16,S005,25.0
A,0.16,S006,25.0
A,0.16,S007,25.0
A,0.16,S008,25.0
A,0.16,S009,25.0
A,0.16,S010,25.0
A,0.16,S011,25.0
A,0.16,S012,25.0
A,0.16,S013,25.0
A,0.16,S014,25.0
A,0.16,S015,25.0
A,0.17,S001,25.0
A,0.17,S002,25.0
A,0.17,S003,25.0
A,0.17,S004,25.0
A,0.17,S005,25.0
A,0.17,S006,25.0
A,0.17,S007,25.0
A,0.17,S008,25.0
A,0.17,S009,25.0
A,0.17,S010,25.0
A,0.17,S011,25.0
A,0.17,S012,25.0
A,0.17,S013,25.0
A,0.17,S014,25.0
A,0.17,S015,25.0
A,0.18,S001,25.0
A,0.18,S002,25.0
A,0.18,S003,25.0
A,0.18,S004,25.0
A,0.18,S005,25.0
A,0.18,S006,25.0
A,0.18,S007,25.0
A,0.18,S008,25.0
A,0.18,S009,25.0
A,0.18,S010,25.0
A,0.18,S011,25.0
A,0.18,S012,25.0
A,0.18,S013,25.0
A,0.18,S014,25.0
A,0.18,S015,25.0
A,0.19,S001,25.0
A,0.19,S002,25.0
A,0.19,S003,25.0
A,0.19,S004,25.0
A,0.19,S005,25.0
A,0.19,S006,25.0
A,0.19,S007,25.0
A,0.19,S008,25.0
A,0.19,S009,25.0
A,0.19,S010,25.0
A,0.19,S011,25.0
A,0.19,S012,25.0
A,0.19,S013,25.0
A,0.19,S014,25.0
A,0.19,S015,25.0
A,0.2,S001,25.0
A,0.2,S002,25.0
A,0.2,S003,25.0
A,0.2,S004,25.0
A,0.2,S005,25.0
A,0.2,S006,25.0
A,0.2,S007,25.0
A,0.2,S008,25.0
A,0.2,S009,25.0
A,0.2,S010,25.0
A,0.2,S011,25.0
A,0.2,S012,25.0
A,0.2,S013,25.0
A,0.2,S014,25.0
A,0.2,S015,25.0
