机型,ρ,κ,平均q_max,最小q_max
A,0.1,1.0,25.0,25.0
A,0.1,0.95,25.0,25.0
A,0.1,0.9,25.0,25.0
A,0.1,0.85,25.0,25.0
A,0.1,0.8,25.0,25.0
A,0.11,1.0,25.0,25.0
A,0.11,0.95,25.0,25.0
A,0.11,0.9,25.0,25.0
A,0.11,0.85,25.0,25.0
A,0.11,0.8,25.0,25.0
A,0.12,1.0,25.0,25.0
A,0.12,0.95,25.0,25.0
A,0.12,0.9,25.0,25.0
A,0.12,0.85,25.0,25.0
A,0.12,0.8,25.0,25.0
A,0.13,1.0,25.0,25.0
A,0.13,0.95,25.0,25.0
A,0.13,0.9,25.0,25.0
A,0.13,0.85,25.0,25.0
A,0.13,0.8,25.0,25.0
A,0.14,1.0,25.0,25.0
A,0.14,0.95,25.0,25.0
A,0.14,0.9,25.0,25.0
A,0.14,0.85,25.0,25.0
A,0.14,0.8,25.0,25.0
A,0.15,1.0,25.0,25.0
A,0.15,0.95,25.0,25.0
A,0.15,0.9,25.0,25.0
A,0.15,0.85,25.0,25.0
A,0.15,0.8,25.0,25.0
A,0.16,1.0,25.0,25.0
A,0.16,0.95,25.0,25.0
A,0.16,0.9,25.0,25.0
A,0.16,0.85,25.0,25.0
A,0.16,0.8,25.0,25.0
A,0.17,1.0,25.0,25.0
A,0.17,0.95,25.0,25.0
A,0.17,0.9,25.0,25.0
A,0.17,0.85,25.0,25.0
A,0.17,0.8,25.0,25.0
A,0.18,1.0,25.0,25.0
A,0.18,0.95,25.0,25.0
A,0.18,0.9,25.0,25.0
A,0.18,0.85,25.0,25.0
A,0.18,0.8,25.0,25.0
A,0.19,1.0,25.0,25.0
A,0.19,0.95,25.0,25.0
A,0.19,0.9,25.0,25.0
A,0.19,0.85,25.0,25.0
A,0.19,0.8,25.0,25.0
A,0.2,1.0,25.0,25.0
A,0.2,0.95,25.0,25.0
A,0.2,0.9,25.0,25.0
A,0.2,0.85,25.0,25.0
A,0.2,0.8,25.0,25.0
A,0.21,1.0,25.0,25.0
A,0.21,0.95,25.0,25.0
A,0.21,0.9,25.0,25.0
A,0.21,0.85,25.0,25.0
A,0.21,0.8,25.0,25.0
A,0.22,1.0,25.0,25.0
A,0.22,0.95,25.0,25.0
A,0.22,0.9,25.0,25.0
A,0.22,0.85,25.0,25.0
A,0.22,0.8,25.0,25.0
A,0.23,1.0,25.0,25.0
A,0.23,0.95,25.0,25.0
A,0.23,0.9,25.0,25.0
A,0.23,0.85,25.0,25.0
A,0.23,0.8,25.0,25.0
A,0.24,1.0,25.0,25.0
A,0.24,0.95,25.0,25.0
A,0.24,0.9,25.0,25.0
A,0.24,0.85,25.0,25.0
A,0.24,0.8,24.99,24.91
A,0.25,1.0,24.95,24.29
A,0.25,0.95,24.94,24.08
A,0.25,0.9,24.92,23.84
A,0.25,0.85,24.9,23.57
A,0.25,0.8,24.88,23.26
A,0.26,1.0,24.84,22.58
A,0.26,0.95,24.82,22.35
A,0.26,0.9,24.81,22.09
A,0.26,0.85,24.79,21.8
A,0.26,0.8,24.76,21.47
A,0.27,1.0,24.71,20.71
A,0.27,0.95,24.7,20.46
A,0.27,0.9,24.66,20.18
A,0.27,0.85,24.61,19.87
A,0.27,0.8,24.56,19.51
A,0.28,1.0,24.48,18.65
A,0.28,0.95,24.44,18.38
A,0.28,0.9,24.4,18.08
A,0.28,0.85,24.35,17.74
A,0.28,0.8,24.3,17.35
A,0.29,1.0,24.21,16.37
A,0.29,0.95,24.16,16.07
A,0.29,0.9,24.12,15.74
A,0.29,0.85,24.06,15.37
A,0.29,0.8,23.96,14.94
A,0.3,1.0,23.88,13.79
A,0.3,0.95,23.8,13.46
A,0.3,0.9,23.69,13.09
A,0.3,0.85,23.57,12.67
A,0.3,0.8,23.43,12.19
A,0.31,1.0,23.3,10.81
A,0.31,0.95,23.2,10.43
A,0.31,0.9,23.07,10.0
A,0.31,0.85,22.92,9.52
A,0.31,0.8,22.75,8.95
A,0.32,1.0,22.52,7.17
A,0.32,0.95,22.39,6.71
A,0.32,0.9,22.24,6.17
A,0.32,0.85,22.08,5.55
A,0.32,0.8,21.88,4.81
A,0.33,1.0,21.55,1.89
A,0.33,0.95,21.38,0.96
A,0.33,0.9,21.2,0.0
A,0.33,0.85,21.06,0.0
A,0.33,0.8,20.9,0.0
A,0.34,1.0,20.73,0.0
A,0.34,0.95,20.61,0.0
