货箱编号,架次编号,服务区编号,交付完成时刻s
S001-MED-02,T01,S001,918.252
S001-MED-01,T01,S001,918.252
S001-WAT-01,T01,S001,918.252
S001-WAT-03,T02,S001,1182.849
S001-WAT-05,T02,S001,1182.849
S001-WAT-06,T02,S001,1182.849
S001-WAT-02,T02,S001,1182.849
S001-FOD-01,T02,S001,1182.849
S001-WAT-04,T02,S001,1182.849
S002-FOD-02,T03,S002,1490.817
S002-WAT-04,T03,S002,1490.817
S002-WAT-02,T03,S002,1490.817
S002-WAT-03,T03,S002,1490.817
S002-HYG-01,T03,S002,1490.817
S002-FOD-01,T03,S002,1490.817
S012-MED-01,T04,S012,1282.162
S012-WAT-01,T04,S012,1282.162
S012-FOD-01,T04,S012,1282.162
S014-MED-01,T05,S014,1260.534
S014-WAT-01,T05,S014,1260.534
S013-WAT-01,T06,S013,1079.146
S013-FOD-01,T06,S013,1079.146
S010-WAT-01,T07,S010,1134.906
S010-MED-01,T07,S010,1134.906
S013-MED-01,T07,S013,1541.918
S002-WAT-01,T08,S002,1287.298
S002-MED-01,T08,S002,1287.298
S015-WAT-01,T09,S015,2338.587
S003-WAT-01,T09,S003,2761.546
S006-WAT-03,T10,S006,2694.741
S006-WAT-02,T10,S006,2694.741
S006-FOD-01,T10,S006,2694.741
S006-HYG-01,T10,S006,2694.741
S007-WAT-02,T10,S007,3379.455
S007-FOD-01,T10,S007,3379.455
S007-HYG-01,T10,S007,3379.455
S015-FOD-01,T10,S015,3819.907
S006-WAT-01,T11,S006,2570.309
S006-MED-01,T11,S006,2570.309
S015-MED-01,T11,S015,3334.025
S004-WAT-01,T12,S004,3188.718
S004-HYG-01,T12,S004,3188.718
S007-WAT-01,T13,S007,3100.114
S007-MED-01,T13,S007,3100.114
S001-WAT-07,T14,S001,3357.662
S001-WAT-08,T14,S001,3357.662
S001-FOD-02,T14,S001,3357.662
S001-FOD-03,T14,S001,3357.662
S001-HYG-02,T14,S001,3357.662
S001-HYG-01,T14,S001,3357.662
S010-FOD-01,T14,S010,3957.949
S014-FOD-01,T14,S014,4463.613
S004-MED-01,T15,S004,5032.517
S004-WAT-02,T15,S004,5032.517
S005-FOD-01,T15,S005,4536.186
S009-WAT-01,T16,S009,4961.572
S009-MED-01,T16,S009,4961.572
S009-FOD-01,T16,S009,4961.572
S003-FOD-02,T17,S003,6194.036
S003-FOD-01,T17,S003,6194.036
S003-HYG-01,T17,S003,6194.036
S003-MED-01,T17,S003,6194.036
S003-WAT-03,T17,S003,6194.036
S003-WAT-04,T17,S003,6194.036
S003-WAT-02,T17,S003,6194.036
S008-WAT-01,T18,S008,7130.651
S008-MED-01,T18,S008,7130.651
S008-WAT-02,T18,S008,7130.651
S008-FOD-01,T18,S008,7130.651
S008-HYG-01,T18,S008,7130.651
S011-WAT-01,T18,S011,6262.952
S011-MED-01,T18,S011,6262.952
S011-FOD-01,T18,S011,6262.952
S004-FOD-01,T19,S004,7038.175
S004-WAT-03,T19,S004,7038.175
S005-MED-01,T19,S005,6541.843
S005-WAT-01,T20,S005,8227.362
S005-HYG-01,T20,S005,8227.362
S005-WAT-03,T20,S005,8227.362
S005-WAT-02,T20,S005,8227.362
