K上限,种子序号,种子,是否可行,架次,能耗kWh,makespan_s,加权时延,硬违反,目标值f
20,0,20262943,是,20,67.338066,8345.684,7245.158,0,0.194606
20,1,20270862,是,20,69.415082,9605.495,44596.311,0,0.291967
20,2,20278781,是,20,71.197228,9744.292,76485.916,0,0.354772
20,3,20286700,是,20,69.497684,9544.783,28309.307,0,0.260111
20,4,20294619,是,20,68.955643,9320.601,4787.299,0,0.211144
22,0,20263145,是,22,70.526521,7850.01,7245.158,0,0.183855
22,1,20271064,是,22,73.122946,7784.01,7245.158,0,0.182423
22,2,20278983,是,22,72.202069,7916.01,7245.158,0,0.185287
22,3,20286902,是,22,69.341458,7549.889,7245.158,0,0.177345
22,4,20294821,是,22,70.392926,7867.312,7245.158,0,0.18423
25,0,20263448,是,25,74.125926,7054.215,7245.158,0,0.166594
25,1,20271367,是,25,74.317914,6849.393,4787.299,0,0.157543
25,2,20279286,是,24,69.640024,6712.713,0.0,0,0.145602
25,3,20287205,是,25,74.364746,6996.217,7245.158,0,0.165336
25,4,20295124,是,25,74.604492,7054.215,6453.158,0,0.165109
30,0,20263953,是,24,69.640024,6712.713,0.0,0,0.145602
30,1,20271872,是,24,69.640024,6712.713,0.0,0,0.145602
30,2,20279791,是,24,69.640024,6712.713,0.0,0,0.145602
30,3,20287710,是,24,70.201374,6701.937,0.0,0,0.145368
30,4,20295629,是,24,69.640024,6712.713,0.0,0,0.145602
