架次编号,无人机编号,机型编号,电池编号,开始时刻s,访问服务区顺序,返回O01时刻s,架次能耗kWh
T01,U05,B,BB0,0.0,S006,1210.482,1.13897
T02,U01,A,AB0,0.0,S006,1316.642,1.31237
T03,U07,C,CB0,0.0,S001,1495.327,2.620441
T04,U08,C,CB1,0.0,S002,2114.814,6.125102
T05,U06,B,BB1,0.0,S009,1560.608,2.101973
T06,U02,A,AB1,0.0,S007,1713.036,1.90038
T07,U03,A,AB2,0.0,S006,1316.642,1.357876
T08,U04,A,AB3,0.0,S010->S014,2307.348,2.516233
T09,U05,B,BB2,1210.482,S013,2711.957,1.822105
T10,U01,A,AB4,1316.642,S001,2628.989,1.267708
T11,U03,A,AB5,1316.642,S007,3029.678,1.965803
T12,U07,C,CB2,1495.327,S001->S010,3814.962,4.687767
T13,U06,B,BB3,1560.608,S012,3505.071,2.764445
T14,U08,C,CB3,2114.814,S003,4617.461,6.327428
T15,U02,A,AB0,2195.771,S014,4161.727,2.358382
T16,U04,A,AB2,2307.348,S002,4318.065,2.929678
T17,U05,B,BB0,2711.957,S004,4637.171,2.677141
T18,U01,A,AB1,2762.035,S004,4945.299,3.201668
T19,U03,A,AB4,3495.216,S007,5148.252,1.801313
T20,U06,B,BB1,3505.071,S004,5430.286,2.584988
T21,U07,C,CB0,3814.962,S011->S008,6506.093,6.373347
T22,U02,A,AB3,4161.727,S003,6365.051,2.933015
T23,U08,C,CB1,4617.461,S005,6497.115,4.236459
T24,U05,B,BB2,4637.171,S015,6466.949,2.311387
