货箱编号,架次编号,服务区编号,类别,优先系数,是否首批,期望送达时刻s,硬时限时刻s,交付完成时刻s,硬时限余量s,是否迟到
S006-WAT-02,T01,S006,饮用水,12.0,否,3600.0,,884.004,,否
S006-HYG-01,T01,S006,生活卫生用品,8.0,否,10800.0,,884.004,,否
S006-WAT-01,T02,S006,饮用水,12.0,是,3600.0,3600.0,937.084,2662.916,否
S006-MED-01,T02,S006,医疗物资,24.0,是,3600.0,3600.0,937.084,2662.916,否
S001-WAT-06,T03,S001,饮用水,12.0,否,3600.0,,1182.849,,否
S001-WAT-07,T03,S001,饮用水,12.0,否,3600.0,,1182.849,,否
S001-WAT-08,T03,S001,饮用水,12.0,否,3600.0,,1182.849,,否
S001-FOD-02,T03,S001,应急食品,10.0,否,7200.0,,1182.849,,否
S001-FOD-03,T03,S001,应急食品,10.0,否,7200.0,,1182.849,,否
S001-FOD-01,T03,S001,应急食品,10.0,否,7200.0,,1182.849,,否
S002-WAT-04,T04,S002,饮用水,12.0,否,3600.0,,3209.063,,否
S002-HYG-01,T04,S002,生活卫生用品,8.0,否,10800.0,,3209.063,,否
S002-WAT-02,T04,S002,饮用水,12.0,否,3600.0,,3209.063,,否
S002-WAT-03,T04,S002,饮用水,12.0,否,3600.0,,3209.063,,否
S002-FOD-02,T04,S002,应急食品,10.0,否,7200.0,,3209.063,,否
S002-FOD-01,T04,S002,应急食品,10.0,否,7200.0,,3209.063,,否
S009-WAT-01,T05,S009,饮用水,8.0,是,10800.0,10800.0,1091.894,9708.106,否
S009-MED-01,T05,S009,医疗物资,16.0,是,10800.0,10800.0,1091.894,9708.106,否
S009-FOD-01,T05,S009,应急食品,6.0,否,14400.0,,1091.894,,否
S007-MED-01,T06,S007,医疗物资,24.0,是,3600.0,3600.0,1134.158,2465.842,否
S007-WAT-01,T06,S007,饮用水,12.0,是,3600.0,3600.0,1134.158,2465.842,否
S006-FOD-01,T07,S006,应急食品,10.0,否,7200.0,,937.084,,否
S006-WAT-03,T07,S006,饮用水,12.0,否,3600.0,,937.084,,否
S010-MED-01,T08,S010,医疗物资,24.0,是,3600.0,3600.0,1134.906,2465.094,否
S010-WAT-01,T08,S010,饮用水,12.0,是,3600.0,3600.0,1134.906,2465.094,否
S014-MED-01,T08,S014,医疗物资,22.0,是,7200.0,3600.0,1601.927,1998.073,否
S013-WAT-01,T09,S013,饮用水,12.0,是,3600.0,3600.0,2268.753,1331.247,否
S013-MED-01,T09,S013,医疗物资,24.0,是,3600.0,3600.0,2268.753,1331.247,否
S013-FOD-01,T09,S013,应急食品,10.0,否,7200.0,,2268.753,,否
S001-MED-02,T10,S001,医疗物资,24.0,否,3600.0,3600.0,2285.939,1314.061,否
S001-WAT-01,T10,S001,饮用水,12.0,是,3600.0,3600.0,2285.939,1314.061,否
S001-MED-01,T10,S001,医疗物资,24.0,是,3600.0,3600.0,2285.939,1314.061,否
S007-WAT-02,T11,S007,饮用水,12.0,否,3600.0,,2854.5,,否
S007-FOD-01,T11,S007,应急食品,10.0,否,7200.0,,2854.5,,否
S001-WAT-02,T12,S001,饮用水,12.0,否,3600.0,,2708.176,,否
S001-WAT-03,T12,S001,饮用水,12.0,否,3600.0,,2708.176,,否
S001-WAT-05,T12,S001,饮用水,12.0,否,3600.0,,2708.176,,否
S001-WAT-04,T12,S001,饮用水,12.0,否,3600.0,,2708.176,,否
S001-HYG-01,T12,S001,生活卫生用品,8.0,否,10800.0,,2708.176,,否
S001-HYG-02,T12,S001,生活卫生用品,8.0,否,10800.0,,2708.176,,否
S010-FOD-01,T12,S010,应急食品,10.0,否,7200.0,,3308.463,,否
S012-WAT-01,T13,S012,饮用水,12.0,是,3600.0,3600.0,2842.769,757.231,否
S012-MED-01,T13,S012,医疗物资,22.0,是,7200.0,3600.0,2842.769,757.231,否
S012-FOD-01,T13,S012,应急食品,10.0,否,7200.0,,2842.769,,否
S003-MED-01,T14,S003,医疗物资,20.0,是,7200.0,7200.0,6744.891,455.109,否
S003-FOD-01,T14,S003,应急食品,8.0,否,10800.0,,6744.891,,否
S003-WAT-04,T14,S003,饮用水,10.0,否,7200.0,,6744.891,,否
S003-WAT-02,T14,S003,饮用水,10.0,否,7200.0,,6744.891,,否
S003-WAT-03,T14,S003,饮用水,10.0,否,7200.0,,6744.891,,否
S003-FOD-02,T14,S003,应急食品,8.0,否,10800.0,,6744.891,,否
S003-HYG-01,T14,S003,生活卫生用品,6.0,否,14400.0,,6744.891,,否
S014-WAT-01,T15,S014,饮用水,12.0,是,3600.0,3600.0,3456.305,143.695,否
S014-FOD-01,T15,S014,应急食品,10.0,否,7200.0,,3456.305,,否
S002-WAT-01,T16,S002,饮用水,12.0,是,3600.0,3600.0,3594.647,5.353,否
S002-MED-01,T16,S002,医疗物资,24.0,是,3600.0,3600.0,3594.647,5.353,否
S004-WAT-03,T17,S004,饮用水,10.0,否,7200.0,,8670.695,,是
S004-HYG-01,T17,S004,生活卫生用品,6.0,否,14400.0,,8670.695,,否
S004-WAT-02,T18,S004,饮用水,10.0,否,7200.0,,5733.679,,否
S004-FOD-01,T18,S004,应急食品,8.0,否,10800.0,,5733.679,,否
S007-HYG-01,T19,S007,生活卫生用品,8.0,否,10800.0,,5346.534,,否
S004-WAT-01,T20,S004,饮用水,10.0,是,7200.0,7200.0,5703.423,1496.577,否
S004-MED-01,T20,S004,医疗物资,20.0,是,7200.0,7200.0,5703.423,1496.577,否
S008-WAT-01,T21,S008,饮用水,10.0,是,7200.0,7200.0,5866.295,1333.705,否
S008-MED-01,T21,S008,医疗物资,20.0,是,7200.0,7200.0,5866.295,1333.705,否
S008-WAT-02,T21,S008,饮用水,10.0,否,7200.0,,5866.295,,否
S008-FOD-01,T21,S008,应急食品,8.0,否,10800.0,,5866.295,,否
S008-HYG-01,T21,S008,生活卫生用品,6.0,否,14400.0,,5866.295,,否
S011-MED-01,T21,S011,医疗物资,16.0,是,10800.0,10800.0,4998.596,5801.404,否
S011-FOD-01,T21,S011,应急食品,6.0,否,14400.0,,4998.596,,否
S011-WAT-01,T21,S011,饮用水,8.0,是,10800.0,10800.0,4998.596,5801.404,否
S003-WAT-01,T22,S003,饮用水,10.0,是,7200.0,7200.0,5602.593,1597.407,否
S005-WAT-01,T23,S005,饮用水,8.0,是,10800.0,10800.0,9089.183,1710.817,否
S005-MED-01,T23,S005,医疗物资,16.0,是,10800.0,10800.0,9089.183,1710.817,否
S005-WAT-03,T23,S005,饮用水,8.0,否,10800.0,,9089.183,,否
S005-WAT-02,T23,S005,饮用水,8.0,否,10800.0,,9089.183,,否
S005-HYG-01,T23,S005,生活卫生用品,4.0,否,18000.0,,9089.183,,否
S005-FOD-01,T23,S005,应急食品,6.0,否,14400.0,,9089.183,,否
S015-WAT-01,T24,S015,饮用水,8.0,是,10800.0,10800.0,6814.992,3985.008,否
S015-FOD-01,T24,S015,应急食品,6.0,否,14400.0,,6814.992,,否
S015-MED-01,T24,S015,医疗物资,18.0,是,7200.0,7200.0,6814.992,385.008,否
