运输架次编号,通信阶段,开始时刻s,结束时刻s,段时长s,采样点数,保障方式,中继架次编号
T01,直连,0.0,1210.258,1210.258,589,直连,
T02,直连,0.0,1495.327,1495.327,628,直连,
T03,直连,0.0,816.669,816.669,339,直连,
T03,中继,816.669,1759.794,943.125,550,中继,R01
T03,直连,1759.794,2114.814,355.02,357,直连,
T04,直连,0.0,753.003,753.003,365,直连,
T04,中继,753.003,807.941,54.939,55,中继,R01
T04,中继,807.941,1506.563,698.621,462,中继,R02
T04,中继,1506.563,1561.501,54.939,55,中继,R01
T04,直连,1561.501,1944.463,382.962,385,直连,
T05,直连,0.0,837.371,837.371,480,直连,
T05,中继,837.371,1458.728,621.357,414,中继,R02
T05,直连,1458.728,1965.956,507.227,510,直连,
T06,直连,0.0,777.341,777.341,420,直连,
T06,中继,777.341,1168.213,390.871,184,中继,R02
T06,直连,1168.213,1603.224,435.012,438,直连,
T07,直连,0.0,821.853,821.853,434,直连,
T07,中继,821.853,1630.986,809.132,425,中继,R02
T07,直连,1630.986,2065.997,435.012,438,直连,
T08,直连,0.0,750.374,750.374,393,直连,
T08,中继,750.374,1608.108,857.734,651,中继,R01
T08,直连,1608.108,2010.716,402.609,405,直连,
T09,直连,1210.258,1980.384,770.126,413,直连,
T09,中继,1980.384,3058.246,1077.863,725,中继,R01
T09,直连,3058.246,3494.112,435.866,438,直连,
T10,直连,1495.327,2921.303,1425.976,568,直连,
T10,中继,2921.303,2966.222,44.919,45,中继,R01
T10,直连,2966.222,2983.187,16.965,17,直连,
T10,中继,2983.187,3998.11,1014.923,517,中继,R01
T10,直连,3998.11,4482.252,484.142,487,直连,
T11,直连,1603.224,2939.932,1336.707,743,直连,
T11,中继,2939.932,3540.861,600.929,424,中继,R01
T11,直连,3540.861,4045.818,504.957,507,直连,
T12,直连,2243.228,3084.225,840.997,484,直连,
T12,中继,3084.225,3263.987,179.762,180,中继,R01
T12,中继,3263.987,3498.911,234.924,27,中继,R03
T12,中继,3498.911,3669.41,170.499,171,中继,R01
T12,直连,3669.41,4168.443,499.033,502,直连,
T13,直连,1965.956,2779.397,813.441,456,直连,
T13,中继,2779.397,3200.608,421.211,215,中继,R01
T13,直连,3200.608,3678.992,478.383,481,直连,
T14,直连,7829.631,9338.659,1509.028,580,直连,
T14,中继,9338.659,10367.513,1028.854,603,中继,R06
T14,直连,10367.513,10853.317,485.804,488,直连,
T15,直连,4830.564,5589.677,759.113,372,直连,
T15,中继,5589.677,5926.077,336.4,159,中继,R04
T15,直连,5926.077,5932.065,5.987,6,直连,
T15,中继,5932.065,6145.71,213.645,215,中继,R04
T15,中继,6145.71,6380.398,234.688,27,中继,R05
T15,中继,6380.398,6550.897,170.499,171,中继,R04
T15,直连,6550.897,7049.93,499.033,502,直连,
T16,直连,7956.535,8664.816,708.28,321,直连,
T16,中继,8664.816,8757.676,92.86,93,中继,R04
T16,中继,8757.676,9187.827,430.151,194,中继,R06
T16,直连,9187.827,9517.143,329.316,332,直连,
T17,直连,4482.252,5428.118,945.866,438,直连,
T17,中继,5428.118,6505.624,1077.506,649,中继,R04
T17,直连,6505.624,6984.9,479.276,482,直连,
T18,直连,5138.5,6563.386,1424.885,603,直连,
T18,中继,6563.386,7415.535,852.149,496,中继,R04
T18,直连,7415.535,7829.631,414.095,416,直连,
T19,直连,5499.77,6258.882,759.113,372,直连,
T19,中继,6258.882,6595.282,336.4,159,中继,R04
T19,直连,6595.282,6601.27,5.987,6,直连,
T19,中继,6601.27,6814.915,213.645,215,中继,R04
T19,中继,6814.915,7049.603,234.688,27,中继,R05
T19,中继,7049.603,7220.102,170.499,171,中继,R04
T19,直连,7220.102,7719.135,499.033,502,直连,
T20,直连,7410.329,8212.69,802.36,385,直连,
T20,中继,8212.69,8755.752,543.062,222,中继,R04
T20,直连,8755.752,9157.983,402.231,405,直连,
