失效区间编号,运输架次编号,区间起点s,区间终点s,悬停站编号,中继架次编号
G01,T03,815.17,1761.292,S01,R01
G02,T04,751.504,1563.0,S03,R02
G03,T05,836.872,1459.228,S03,R02
G04,T06,777.029,1168.525,S03,R02
G05,T07,819.535,1631.298,S03,R02
G06,T08,748.876,1609.606,S01,R01
G07,T09,1979.885,3059.284,S01,R01
G08,T10,2919.806,2967.719,S01,R01
G09,T10,2981.69,3998.609,S01,R01
G10,T11,2938.433,3542.36,S01,R01
G11,T12,3081.976,3671.659,S02,R03
G12,T13,2779.029,3200.976,S01,R01
G13,T14,9338.16,10368.012,S03,R06
G14,T15,5588.181,5927.61,S01,R04
G15,T15,5931.555,6553.146,S02,R05
G16,T16,8663.318,9189.325,S03,R06
G17,T17,5427.08,6506.662,S01,R04
G18,T18,6562.273,7416.577,S01,R04
G19,T19,6257.386,6596.815,S01,R04
G20,T19,6600.76,7222.351,S02,R05
G21,T20,8211.193,8757.249,S01,R04
