架次编号,原开始时刻s,错峰开始时刻s,推迟s
T01,0.0,0.0,0.0
T02,0.0,0.0,0.0
T03,0.0,0.0,0.0
T04,0.0,0.0,0.0
T05,0.0,0.0,0.0
T06,0.0,0.0,0.0
T07,0.0,0.0,0.0
T08,0.0,0.0,0.0
T09,1210.482,1210.482,0.0
T10,1316.642,1316.642,0.0
T11,1316.642,1316.642,0.0
T12,1495.327,1495.327,0.0
T13,1944.463,2075.298,130.834
T14,2114.814,2114.814,0.0
T15,2195.771,2195.771,0.0
T16,2307.348,2307.348,0.0
T17,2711.957,2711.957,0.0
T18,2762.035,3242.02,479.985
T19,3495.216,3593.203,97.988
T20,3809.056,3809.056,0.0
T21,3814.962,3814.962,0.0
T22,4161.727,4161.727,0.0
T23,4541.734,4541.734,0.0
T24,4617.461,4617.461,0.0
