架次编号,无人机编号,机型编号,电池编号,原开始时刻s,开始时刻s,返回O01时刻s,访问服务区顺序,架次能耗kWh,服务区数,货箱数
T01,U05,B,BB0,0.0,0.0,1210.258,S001,1.076816,1,3
T02,U07,C,CB0,0.0,0.0,1495.327,S001,3.003954,1,6
T03,U08,C,CB1,0.0,0.0,2114.814,S002,6.125102,1,6
T04,U06,B,BB1,0.0,0.0,1944.463,S012,2.764445,1,3
T05,U01,A,AB0,0.0,0.0,1965.956,S014,2.280251,1,2
T06,U02,A,AB1,0.0,0.0,1603.224,S013,2.022753,1,2
T07,U03,A,AB2,0.0,0.0,2065.997,S010->S013,2.287176,2,3
T08,U04,A,AB3,0.0,0.0,2010.716,S002,2.929678,1,2
T09,U05,B,BB2,1210.258,1210.258,3494.112,S015->S003,3.089979,2,2
T10,U07,C,CB2,1495.327,1495.327,4482.252,S006->S007->S015,5.823993,3,8
T11,U02,A,AB4,1603.224,1603.224,4045.818,S006->S015,2.809999,2,3
T12,U06,B,BB3,1944.463,2243.228,4168.443,S004,2.677141,1,2
T13,U01,A,AB5,1965.956,1965.956,3678.992,S007,1.90038,1,2
T14,U08,C,CB3,2114.814,7829.631,10853.317,S001->S010->S014,5.434619,3,8
T15,U05,B,BB0,3494.112,4830.564,7049.93,S005->S004,2.848879,2,3
T16,U06,B,BB1,3869.678,7956.535,9517.143,S009,2.101973,1,3
T17,U07,C,CB0,4482.252,4482.252,6984.9,S003,6.327428,1,7
T18,U08,C,CB1,5138.5,5138.5,7829.631,S011->S008,6.373347,2,8
T19,U06,B,BB2,5499.77,5499.77,7719.135,S005->S004,2.906122,2,3
T20,U07,C,CB2,6984.9,7410.329,9157.983,S005,3.928598,1,4
