K,资源规模R,工作量均衡CV_W,中继无人机总需求,总量缺口合计
2,30,0.87458,3,2
2,31,0.862142,3,3
2,30,0.746197,3,2
2,30,0.774422,3,2
2,31,0.664209,3,3
2,34,0.655201,4,5
2,33,0.55271,4,4
2,35,0.470621,4,7
2,33,0.369242,4,5
2,36,0.363856,4,7
2,34,0.269499,4,5
2,37,0.387069,4,9
2,35,0.28812,4,7
2,38,0.28373,4,9
2,36,0.19161,4,7
2,36,0.390597,4,7
2,38,0.297829,4,9
2,36,0.293603,4,7
2,38,0.20685,4,9
2,37,0.312494,4,8
2,39,0.221853,4,10
2,37,0.218502,4,8
2,39,0.133717,4,10
2,37,0.028505,4,8
2,35,0.054401,4,6
2,37,0.054573,4,8
2,35,0.132199,4,6
2,39,0.124226,4,10
2,37,0.208409,4,8
2,39,0.206699,4,10
2,37,0.285218,4,8
2,31,0.732051,3,3
2,34,0.622938,4,5
2,33,0.614426,3,5
2,34,0.512955,4,5
2,32,0.538971,4,3
2,33,0.442162,4,4
2,34,0.436275,4,5
2,33,0.345781,4,4
2,36,0.254982,4,7
2,34,0.165907,4,5
2,36,0.1632,4,7
2,34,0.079865,4,5
2,36,0.176879,4,7
2,34,0.089931,4,5
2,36,0.088098,4,7
2,34,0.006732,4,5
2,38,0.219996,4,9
2,40,0.125906,4,11
2,38,0.123508,4,9
2,40,0.035862,4,11
2,37,0.136445,4,8
2,39,0.044784,4,10
2,37,0.043382,4,8
2,39,0.042027,4,10
2,38,0.167356,4,9
2,36,0.250183,4,7
2,38,0.247962,4,9
2,36,0.325237,4,7
2,35,0.34653,3,7
2,33,0.429894,3,5
2,35,0.425143,3,7
2,33,0.502598,3,5
3,34,1.145045,4,5
3,33,1.059905,4,4
3,37,0.949665,5,7
3,34,1.049878,4,5
3,35,0.947543,4,6
3,33,0.939933,4,4
3,37,0.783888,5,8
3,38,0.710596,5,8
3,39,0.775084,5,10
3,37,0.703916,5,8
3,37,0.658411,5,8
3,39,0.721305,5,10
3,40,0.661797,5,10
3,41,0.712378,5,12
3,39,0.653479,5,10
3,39,0.593247,5,10
3,39,0.688816,5,10
3,37,0.617825,5,8
3,39,0.580079,5,10
3,40,0.616598,5,10
3,38,0.563963,5,8
3,40,0.507622,5,10
3,43,0.575309,6,13
3,41,0.502902,6,11
3,41,0.479048,6,11
3,40,0.731987,5,10
3,40,0.674951,5,10
3,40,0.723508,5,10
3,42,0.667308,5,12
3,40,0.611319,5,10
3,41,0.681261,5,11
3,41,0.637692,5,11
3,41,0.672465,5,11
3,43,0.628552,5,13
3,41,0.558515,5,11
3,39,0.64062,5,9
3,41,0.584899,5,11
3,41,0.53478,5,11
3,39,0.584696,5,9
3,41,0.546433,5,11
3,41,0.479526,5,11
3,43,0.529819,6,13
3,45,0.473284,6,15
3,43,0.433795,6,13
3,39,0.591108,5,9
3,39,0.60337,5,9
3,41,0.57943,5,11
3,39,0.589662,5,9
3,39,0.471777,5,9
3,41,0.611339,5,11
3,41,0.651558,5,11
3,43,0.596731,5,13
3,41,0.635955,5,11
3,41,0.499044,5,11
3,41,0.492544,5,11
3,39,0.525933,5,9
3,41,0.393986,5,11
3,41,0.527816,5,11
3,39,0.572429,5,9
3,41,0.443502,5,11
3,45,0.382733,6,15
3,43,0.428824,6,13
3,43,0.2999,6,13
3,44,0.322656,6,14
3,44,0.267138,6,14
3,42,0.235018,6,12
3,44,0.270324,6,14
3,44,0.248157,6,14
3,42,0.173658,6,12
3,45,0.235576,6,15
3,45,0.168665,6,15
3,43,0.172764,6,13
3,46,0.198895,6,16
3,46,0.197877,6,16
3,44,0.091719,6,14
3,46,0.203796,6,16
3,46,0.246767,6,16
3,44,0.11787,6,14
3,47,0.089854,6,17
3,47,0.1032,6,17
3,45,0.026099,6,15
3,46,0.161677,6,16
3,46,0.118292,6,16
3,44,0.090428,6,14
3,46,0.12474,6,16
3,46,0.157216,6,16
3,44,0.028506,6,14
3,47,0.096075,6,17
3,47,0.01411,6,17
3,45,0.11544,6,15
3,34,1.018064,4,5
3,36,0.91191,4,7
3,35,1.008318,4,6
3,38,0.90928,5,8
3,34,0.897657,4,5
3,35,0.848345,5,5
3,37,0.769847,5,7
3,36,0.8399,5,6
3,37,0.764789,5,7
3,35,0.731609,5,5
3,34,0.925531,4,5
3,37,0.827487,5,7
3,35,0.82369,4,6
3,36,0.822021,4,7
3,37,0.737607,5,7
3,37,0.720929,4,8
3,38,0.817859,5,8
3,41,0.72047,6,11
3,37,0.729234,5,7
3,38,0.649922,5,8
3,38,0.617167,5,8
3,40,0.640747,5,10
3,38,0.606921,5,8
3,38,0.526033,5,8
3,38,0.617073,5,8
3,38,0.599872,5,8
3,40,0.607193,5,10
3,38,0.588209,5,8
3,38,0.492748,5,8
3,38,0.55577,5,8
3,36,0.523834,5,6
3,38,0.446307,5,8
3,38,0.525259,5,8
3,36,0.512376,5,6
3,38,0.419656,5,8
3,42,0.440369,6,12
3,40,0.41005,6,10
3,40,0.338448,6,10
3,39,0.641741,5,10
3,41,0.535354,6,11
3,37,0.570659,5,8
3,41,0.53133,5,12
3,41,0.438281,6,11
3,39,0.45799,5,10
3,40,0.569921,5,10
3,42,0.462465,6,12
3,38,0.518237,5,8
3,39,0.463864,6,9
3,39,0.381362,6,9
3,37,0.387556,6,7
3,41,0.381121,6,11
3,39,0.317859,6,9
3,39,0.298422,6,9
3,40,0.387872,6,10
3,40,0.299267,6,10
