K,任务组编号,资源类型,资源编号,占用起点s,占用终点s,对象编号
2,1,A型运输无人机,G1-UA-1,0.0,1316.642,T02
2,1,A型运输无人机,G1-UA-2,0.0,1316.642,T07
2,1,A型运输无人机,G1-UA-3,0.0,1713.036,T06
2,1,A型运输无人机,G1-UA-4,0.0,2307.348,T08
2,1,A型运输无人机,G1-UA-1,1316.642,2628.989,T10
2,1,A型运输无人机,G1-UA-2,1316.642,3029.678,T11
2,1,A型运输无人机,G1-UA-3,2195.771,4161.727,T15
2,1,A型运输无人机,G1-UA-4,2307.348,4318.065,T16
2,1,A型运输无人机,G1-UA-1,3242.02,5425.284,T18
2,1,A型运输无人机,G1-UA-2,3593.203,5246.239,T19
2,1,A型运输无人机,G1-UA-3,4161.727,6365.051,T22
2,1,A型共享电池,G1-BA-1,0.0,2195.771,T02
2,1,A型共享电池,G1-BA-2,0.0,2208.917,T07
2,1,A型共享电池,G1-BA-3,0.0,2762.035,T06
2,1,A型共享电池,G1-BA-4,0.0,3534.26,T08
2,1,A型共享电池,G1-BA-5,1316.642,3495.216,T10
2,1,A型共享电池,G1-BA-6,1316.642,4097.576,T11
2,1,A型共享电池,G1-BA-1,2195.771,5343.037,T15
2,1,A型共享电池,G1-BA-2,2307.348,5664.416,T16
2,1,A型共享电池,G1-BA-3,3242.02,6850.211,T18
2,1,A型共享电池,G1-BA-4,3593.203,6266.618,T19
2,1,A型共享电池,G1-BA-5,4161.727,7712.366,T22
2,1,B型运输无人机,G1-UB-1,0.0,1210.482,T01
2,1,B型运输无人机,G1-UB-2,0.0,1944.463,T05
2,1,B型运输无人机,G1-UB-1,1210.482,2711.957,T09
2,1,B型运输无人机,G1-UB-1,2711.957,4541.734,T17
2,1,B型运输无人机,G1-UB-2,3809.056,5734.271,T20
2,1,B型运输无人机,G1-UB-1,4541.734,6466.949,T23
2,1,B型共享电池,G1-BB-1,0.0,2370.702,T01
2,1,B型共享电池,G1-BB-2,0.0,3809.056,T05
2,1,B型共享电池,G1-BB-3,1210.482,4168.202,T09
2,1,B型共享电池,G1-BB-1,2711.957,6210.002,T17
2,1,B型共享电池,G1-BB-2,3809.056,7521.099,T20
2,1,B型共享电池,G1-BB-3,4541.734,8293.71,T23
2,1,C型运输无人机,G1-UC-1,0.0,1495.327,T03
2,1,C型运输无人机,G1-UC-2,0.0,2114.814,T04
2,1,C型运输无人机,G1-UC-1,1495.327,3814.962,T12
2,1,C型运输无人机,G1-UC-2,2114.814,4617.461,T14
2,1,C型运输无人机,G1-UC-1,3814.962,6506.093,T21
2,1,C型运输无人机,G1-UC-2,4617.461,6497.115,T24
2,1,C型共享电池,G1-BC-1,0.0,3038.363,T03
2,1,C型共享电池,G1-BC-2,0.0,4607.029,T04
2,1,C型共享电池,G1-BC-3,1495.327,5917.899,T12
2,1,C型共享电池,G1-BC-4,2114.814,7164.473,T14
2,1,C型共享电池,G1-BC-1,3814.962,9065.541,T21
2,1,C型共享电池,G1-BC-2,4617.461,8477.823,T24
2,1,中继无人机,G1-R-1,95.889,6941.722,R01
2,1,中继无人机,G1-R-2,108.952,6665.579,R04
2,1,中继能源组件,G1-RC-1,95.889,7911.788,R01
2,1,中继能源组件,G1-RC-2,108.952,7589.182,R04
2,2,B型运输无人机,G2-UB-1,2075.298,3635.905,T13
2,2,B型共享电池,G2-BB-1,2075.298,5213.427,T13
2,2,中继无人机,G2-R-1,108.952,6665.579,R06
2,2,中继能源组件,G2-RC-1,108.952,7589.182,R06
3,1,A型运输无人机,G1-UA-1,0.0,1316.642,T02
3,1,A型运输无人机,G1-UA-2,0.0,1316.642,T07
3,1,A型运输无人机,G1-UA-3,0.0,2307.348,T08
3,1,A型运输无人机,G1-UA-1,1316.642,2628.989,T10
3,1,A型运输无人机,G1-UA-2,2195.771,4161.727,T15
3,1,A型运输无人机,G1-UA-3,2307.348,4318.065,T16
3,1,A型运输无人机,G1-UA-1,3242.02,5425.284,T18
3,1,A型运输无人机,G1-UA-2,4161.727,6365.051,T22
3,1,A型共享电池,G1-BA-1,0.0,2195.771,T02
3,1,A型共享电池,G1-BA-2,0.0,2208.917,T07
3,1,A型共享电池,G1-BA-3,0.0,3534.26,T08
3,1,A型共享电池,G1-BA-4,1316.642,3495.216,T10
3,1,A型共享电池,G1-BA-1,2195.771,5343.037,T15
3,1,A型共享电池,G1-BA-2,2307.348,5664.416,T16
3,1,A型共享电池,G1-BA-5,3242.02,6850.211,T18
3,1,A型共享电池,G1-BA-3,4161.727,7712.366,T22
3,1,B型运输无人机,G1-UB-1,0.0,1210.482,T01
3,1,B型运输无人机,G1-UB-2,0.0,1944.463,T05
3,1,B型运输无人机,G1-UB-1,1210.482,2711.957,T09
3,1,B型运输无人机,G1-UB-1,2711.957,4541.734,T17
3,1,B型运输无人机,G1-UB-2,3809.056,5734.271,T20
3,1,B型运输无人机,G1-UB-1,4541.734,6466.949,T23
